replicant;message_count;group;send_time;recieve_time
1;1000000;netty_streaming;15090;28106
2;1000000;netty_streaming;15001;28364
3;1000000;netty_streaming;14932;27652
4;1000000;netty_streaming;15102;27877
5;1000000;netty_streaming;15032;28140
6;1000000;netty_streaming;14623;27936
7;1000000;netty_streaming;14634;27276
8;1000000;netty_streaming;14353;27673
9;1000000;netty_streaming;14577;27701
10;1000000;netty_streaming;15020;27802
11;1000000;netty_streaming;14266;27325
12;1000000;netty_streaming;14745;28045
13;1000000;netty_streaming;14782;27854
14;1000000;netty_streaming;14689;27489
15;1000000;netty_streaming;14654;27784
16;1000000;netty_streaming;14833;27573
17;1000000;netty_streaming;14815;28058
18;1000000;netty_streaming;14343;27258
19;1000000;netty_streaming;14694;27443
20;1000000;netty_streaming;14886;27543
1;1000000;control_streaming;23407;23407
2;1000000;control_streaming;23524;23524
3;1000000;control_streaming;22843;22843
4;1000000;control_streaming;22732;22732
5;1000000;control_streaming;22636;22636
6;1000000;control_streaming;23335;23335
7;1000000;control_streaming;22820;22821
8;1000000;control_streaming;23741;23741
9;1000000;control_streaming;22756;22756
10;1000000;control_streaming;22580;22580
11;1000000;control_streaming;22433;22433
12;1000000;control_streaming;22565;22565
13;1000000;control_streaming;22871;22871
14;1000000;control_streaming;23931;23931
15;1000000;control_streaming;23629;23629
16;1000000;control_streaming;22770;22770
17;1000000;control_streaming;23761;23761
18;1000000;control_streaming;23590;23590
19;1000000;control_streaming;24839;24839
20;1000000;control_streaming;24670;24670
